description,issue_type
Can you sign my application for study leave?,Signature
How do I register for faculty leadership training?,Enrollment
Bolehkah saya memohon biasiswa jika saya bekerja sambilan?,Scholarship
Please sign my application for a student loan deferment.,Signature
How do I request a replacement student ID?,Other
How can I sign up for additional faculty responsibilities?,Enrollment
Can I get a transcript for the courses I’ve taken during the summer session?,Transcript
Boleh tandatangan borang untuk saya?,Signature
What is the scholarship application deadline for next year?,Scholarship
Adakah terdapat proses temuduga untuk permohonan biasiswa?,Scholarship
Can you help with something that doesn’t fit anywhere else?,Other
Can I use a scholarship for living expenses?,Scholarship
Tolong tandatangan borang pendaftaran untuk program pasca siswazah saya.,Signature
Adakah terdapat biasiswa untuk pelajar yang belajar dalam bidang sains alam sekitar?,Scholarship
Can I apply for a scholarship if I have a part-time job?,Scholarship
Bagaimana cara saya mendapatkan transkrip jika saya bukan lagi seorang pelajar?,Transcript
Tolong tandatangan borang pengesahan ini.,Signature
Saya perlukan tandatangan anda untuk permohonan graduasi saya.,Signature
Bagaimana saya memohon transkrip dari universiti?,Transcript
Can you sign my petition for an academic exception?,Signature
Where should I go to get this form signed?,Signature
How do I register for the faculty mentorship program?,Enrollment
How do I know if my exam has been delayed?,Examination
What are the requirements for enrolling in a faculty research grant program?,Enrollment
Boleh bantu saya dengan proses pendaftaran?,Enrollment
Saya mahu tahu lebih lanjut tentang pendaftaran kursus.,Enrollment
Bagaimana saya boleh mendaftar untuk kursus saya?,Enrollment
Are there any restrictions on the type of pens or pencils I can use in the exam?,Examination
Bilakah peperiksaan saya dijadualkan?,Examination
Can I get my transcript sent directly to my study abroad partner institution?,Transcript
Bolehkah saya ambil transkrip saya secara peribadi di pejabat pendaftar?,Transcript
Bolehkah saya memohon transkrip jika saya telah tamat pengajian?,Transcript
How do I sign up for my courses?,Enrollment
How do I sign up for the faculty-led program on digital education?,Enrollment
What do I do if I feel unwell during the exam?,Examination
Bagaimana cara saya mendapatkan transkrip jika saya belajar di luar negara?,Transcript
Can I change my student email address?,Other
Can you help me with public speaking skills?,Other
Bagaimana saya mendaftar untuk peperiksaan ulangan?,Examination
Are there any student-run businesses on campus?,Other
Bagaimana saya boleh menukar subjek yang telah saya daftar?,Enrollment
Apakah tarikh akhir permohonan biasiswa?,Scholarship
Is it okay to bring a pencil case to the exam?,Examination
Saya perlukan transkrip untuk permohonan pemindahan.,Transcript
Do scholarships cover living expenses or just tuition fees?,Scholarship
Saya perlukan salinan transkrip saya.,Transcript
How do I sign up for faculty-led skills development sessions?,Enrollment
Where do I apply for a faculty research assistant role?,Enrollment
How can I prepare for a comprehensive exam?,Examination
How do I get a transcript if I am no longer a student?,Transcript
Berapa kos untuk memohon transkrip?,Transcript
Can you help me with a technical issue on the website?,Other
Bolehkah saya mendapatkan permit tempat letak kereta sebagai pelajar?,Other
Bolehkah saya mendapatkan transkrip daripada ketua jabatan saya?,Transcript
Bolehkah saya meninggalkan bilik peperiksaan jika saya selesai awal?,Examination
Are there scholarships for students studying social work?,Scholarship
Can you explain the process for applying for academic accommodations?,Other
Tolong tandatangan surat permohonan untuk latihan industri saya.,Signature
Bolehkah anda bantu saya mencari tempat tinggal di luar kampus?,Other
How do I get a discount for campus dining services?,Other
Adakah terdapat biasiswa untuk pelajar dalam bidang seni?,Scholarship
Bolehkah saya memohon penginapan khas untuk keperluan kecacatan?,Other
What are the requirements for sitting an online exam?,Examination
Tolong tandatangan surat permohonan untuk akademik saya.,Signature
Adakah terdapat biasiswa untuk pelajar dalam bidang sains sosial?,Scholarship
Bagaimana saya memohon biasiswa atlet?,Scholarship
How do I register for faculty research presentations?,Enrollment
Bolehkah anda tandatangan permohonan transkrip akademik saya?,Signature
Are we allowed to bring notes or textbooks to the exam?,Examination
How can I apply for enrollment in a faculty sabbatical program?,Enrollment
Bolehkah saya membawa panduan belajar ke dalam peperiksaan?,Examination
Please sign my leave request for family reasons.,Signature
Are there any events or conferences happening this semester?,Other
Please sign my research ethics form.,Signature
Adakah saya boleh memohon biasiswa selepas mendaftar di universiti?,Scholarship
What is the procedure for submitting my online exam?,Examination
Please endorse my re-admission request form.,Signature
How do I register for faculty leadership training?,Enrollment
Could you please sign my loan deferment form?,Signature
What are the requirements for applying for a scholarship?,Scholarship
Bagaimana cara saya mendapatkan transkrip yang diubahsuai untuk aplikasi kerja?,Transcript
Can I apply for a scholarship if I have a criminal record?,Scholarship
Would you sign my study-abroad tuition form?,Signature
Bolehkah anda tandatangan permohonan penyelidikan saya?,Signature
I need my transcript to apply for an external scholarship.,Transcript
Apakah biasiswa yang tersedia untuk pelajar dengan keperluan kewangan?,Scholarship
Can I enroll in a course as a faculty member?,Enrollment
What’s the procedure to enroll in a faculty course design seminar?,Enrollment
Are there scholarships for students studying computer science?,Scholarship
Bolehkah saya menggunakan biasiswa untuk kursus pascasiswazah?,Scholarship
Would you kindly sign my graduate student petition?,Signature
Apa yang berlaku jika saya selesai peperiksaan lebih awal?,Examination
Would you sign my leave application for medical reasons?,Signature
Can I apply for a scholarship after I have been accepted to the university?,Scholarship
Adakah terdapat had bilangan kali untuk saya menduduki peperiksaan semula?,Examination
I’m having trouble with my course enrollment,Enrollment
Boleh tandatangan borang untuk saya?,Signature
Can I request to meet with a faculty member outside of class?,Other
What materials are allowed in the exam room?,Examination
Adakah terdapat biasiswa untuk pelajar dalam bidang seni?,Scholarship
Can I request a transcript if I have a hold on my student account?,Transcript
Can I request a different exam time if I have a scheduling conflict?,Examination
Where can I get more details about student outreach programs?,Other
What are the requirements for enrolling in a faculty research grant program?,Enrollment
What’s the procedure for adding a course after the semester begins?,Other
Bolehkah anda berikan transkrip rasmi saya untuk perubahan kerjaya?,Transcript
How do I enroll in the faculty's instructional technology training?,Enrollment
What scholarships are available for students pursuing a career in technology?,Scholarship
How do I get my transcript sent to a licensing board?,Transcript
Can you explain the process for applying for academic accommodations?,Other
Bolehkah anda tandatangan permohonan pengesahan pertukaran pelajar?,Signature
Would you sign my sabbatical leave form?,Signature
Bagaimana saya boleh menghubungi kesatuan pelajar?,Other
This is a random question I need answered.,Other
Bolehkah anda tandatangan permohonan cuti tahunan saya?,Signature
Can I apply for a scholarship if I have a disability?,Scholarship
Bolehkah saya memohon transkrip jika saya telah tamat pengajian?,Transcript
Please sign my work-study program application.,Signature
Bolehkah saya mendapatkan transkrip untuk kursus yang saya ambil semasa sesi musim panas?,Transcript
Sudi tak tandatangan borang pelepasan graduasi saya?,Signature
What are the best scholarships for international students?,Scholarship
What are the criteria for enrolling in a faculty fellowship program?,Enrollment
Apakah peraturan mengenai bercakap semasa peperiksaan?,Examination
Bolehkah saya bercakap dengan pengawas peperiksaan semasa peperiksaan?,Examination
Bolehkah biasiswa digunakan untuk kursus musim panas?,Scholarship
Could you please sign my loan deferment form?,Signature
Are there scholarships for students studying computer science?,Scholarship
Can I get a copy of my transcript even if I graduated a few years ago?,Transcript
I need help with time management tips.,Other
I have a question that does not fall under any of the listed categories.,Other
Bagaimana saya memohon biasiswa atlet?,Scholarship
Bolehkah saya mendapatkan permit tempat letak kereta sebagai pelajar?,Other
Sila sahkan dengan tandatangan anda.,Signature
How can I get my transcript authenticated for international use?,Transcript
Is there a limit on how many items I can bring into the exam room?,Examination
What materials are allowed in the exam room?,Examination
How can I join a student research group?,Other
Bolehkah anda tandatangan permohonan cuti tahunan saya?,Signature
Bagaimana cara saya untuk mendapatkan transkrip jika saya tidak mempunyai akses ke portal pelajar?,Transcript
Can I use my own exam paper if I run out of space?,Examination
How can I sign up for a faculty-only professional development day?,Enrollment
Can I get my transcript sent to an overseas address?,Transcript
Bolehkah saya memohon biasiswa setelah diterima masuk ke universiti?,Scholarship
Bagaimana saya membuat rayuan terhadap keputusan biasiswa?,Scholarship
Saya ada soalan mengenai dasar keselamatan dan kesihatan universiti.,Other
What are the requirements for sitting an online exam?,Examination
Bagaimana saya memohon biasiswa yang dibiayai oleh kerajaan?,Scholarship
Can I enroll in a specialized teaching course this semester?,Enrollment
Tolong tandatangan permohonan untuk perkhidmatan sokongan disabiliti saya.,Signature
Can I register for courses without a student ID?,Enrollment
How can I register for faculty-led summer programs?,Enrollment
Apa yang perlu saya lakukan jika saya terlepas peperiksaan?,Examination
Could you provide me with a transcript summary for my degree program?,Transcript
What is the deadline for faculty to register for summer courses?,Enrollment
Can you provide more details about student financial aid?,Other
Bolehkah saya memohon lebih daripada satu biasiswa?,Scholarship
Bolehkah saya menggunakan e-mel universiti untuk tujuan peribadi?,Other
How do I enroll in interdisciplinary teaching programs?,Enrollment
Can I enroll in a cross-departmental course?,Enrollment
How do I enroll in a faculty writing retreat?,Enrollment
Could you provide me with a transcript of my courses from last year?,Transcript
Where can I find the enrollment policy for faculty workshops?,Enrollment
Bolehkah anda tandatangan borang permohonan untuk pengesahan transkrip?,Signature
Is there a food bank available on campus?,Other
Tolong tandatangan borang ini.,Signature
Bolehkah saya membawa sweater atau jaket ke dalam bilik peperiksaan?,Examination
Can you sign my petition for credit transfer?,Signature
What happens if I forget to bring my ID to the exam?,Examination
Are there any guidelines for using external resources during online exams?,Examination
What items am I allowed to bring into the exam room?,Examination
Bolehkah anda tandatangan permohonan latihan industri saya?,Signature
Can I submit an article to the university’s magazine?,Other
Can I apply for scholarships after my application is submitted?,Scholarship
Can I request my transcript online if I owe fees?,Transcript
How can I sign up for a faculty conference on teaching innovation?,Enrollment
Are there any peer mentorship opportunities on campus?,Other
Where can I access financial planning resources?,Other
Bolehkah saya menulis pada kertas peperiksaan itu sendiri?,Examination
Apakah barang yang dibenarkan untuk peperiksaan bawa pulang?,Examination
Bagaimana cara saya mendapatkan salinan transkrip untuk temuduga kerja?,Transcript
Can I get a copy of my transcript even if I graduated a few years ago?,Transcript
Bolehkah anda bantu saya mendapatkan transkrip untuk permohonan sekolah siswazah?,Transcript
Adakah terdapat sebarang sekatan mengenai barang yang boleh dibawa ke dalam bilik peperiksaan?,Examination
Can I get your signature for my leave of absence request?,Signature
Can I request extra time for an exam due to personal circumstances?,Examination
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
How do I submit a request to enroll in faculty-led study abroad programs?,Enrollment
How do I sign up for a faculty program that focuses on diversity and inclusion?,Enrollment
How do I know if I’ve been awarded a scholarship?,Scholarship
Apakah prosedur jika saya perlu meninggalkan bilik peperiksaan atas kecemasan?,Examination
Bagaimana saya memohon biasiswa atlet?,Scholarship
Where can I apply for a faculty sabbatical program?,Enrollment
What is the deadline for faculty to register for summer courses?,Enrollment
Can I get a copy of my transcript even if I graduated a few years ago?,Transcript
How can I find out about leadership positions in student organizations?,Other
Bolehkah anda bantu saya dengan masalah teknikal ini?,Other
How can I apply for enrollment in a faculty sabbatical program?,Enrollment
Could you kindly sign my approval form?,Signature
Bagaimana cara untuk menyerahkan idea untuk inisiatif kampus?,Other
Bagaimanakah cara untuk memohon biasiswa untuk pengajian lanjutan?,Scholarship
This question is outside the scope of other categories.,Other
What should I do if I feel unwell during the exam?,Examination
Adakah terdapat program mentor untuk pelajar baru?,Other
Is there a limit to the number of times I can resit an exam?,Examination
Please sign the necessary documents.,Signature
Tolong tandatangan borang pengesahan ini.,Signature
How do I apply for a transcript request online?,Transcript
How do I apply for a sabbatical leave?,Enrollment
How do I sign up for faculty training on student engagement?,Enrollment
Apakah langkah-langkah untuk pendaftaran pelajar antarabangsa?,Enrollment
Bagaimanakah cara untuk memberi maklum balas mengenai kursus?,Other
Di manakah saya boleh mendapatkan nasihat mengenai pengurusan masa?,Other
Can you endorse my student emergency fund application?,Signature
How can I get in touch with the career services department?,Other
How can I join a coding or technology club?,Other
Bolehkah anda tandatangan permohonan untuk pengecualian subjek saya?,Signature
How do I apply for a scholarship for students from my country?,Scholarship
Apakah biasiswa terbaik untuk pelajar antarabangsa?,Scholarship
How do I get my transcript sent to a licensing board?,Transcript
Bagaimana saya melaporkan kesilapan dalam keputusan peperiksaan saya?,Examination
Can I receive a scholarship if I’m studying part-time?,Scholarship
Can I apply for a scholarship if I’m an adult learner returning to education?,Scholarship
What are the rules about speaking during the exam?,Examination
Adakah terdapat biasiswa untuk pelajar dengan pengalaman kepimpinan?,Scholarship
Berapa lama masa yang diambil untuk transkrip saya tersedia selepas tamat pengajian?,Transcript
Bagaimana saya menangani situasi jika bilik peperiksaan terlalu sesak?,Examination
Apa yang perlu saya lakukan jika bilik peperiksaan terlalu sejuk atau panas?,Examination
Bolehkah saya menukar kelas selepas saya daftar?,Enrollment
Bolehkah anda bantu saya dalam proses permohonan transkrip?,Transcript
Where do I find the registration forms for faculty training?,Enrollment
Bolehkah anda hantar transkrip saya jika saya tidak berada di negara ini?,Transcript
Can I get your signature for my housing renewal form?,Signature
I have a general question about university policies.,Other
Adakah saya boleh membawa kotak pensel ke dalam bilik peperiksaan?,Examination
Bolehkah anda tandatangan permohonan pinjaman pelajar saya?,Signature
Can you send me a transcript for my application for residency?,Transcript
Apakah hukuman jika saya didapati menipu semasa peperiksaan?,Examination
Bagaimana saya memohon biasiswa berdasarkan pencapaian?,Scholarship
Apakah tarikh akhir permohonan biasiswa?,Scholarship
Bolehkah saya memohon transkrip walaupun saya menunggu pengesahan ijazah saya?,Transcript
Where can I access financial planning resources?,Other
Bolehkah anda hantar transkrip saya jika saya tidak berada di negara ini?,Transcript
Is there a registration fee for faculty-led workshops?,Enrollment
Where can I find the enrollment guidelines for faculty members?,Enrollment
How do I sign up for a professional development webinar for faculty?,Enrollment
Can I bring a study guide into the exam?,Examination
Can I register for more than one faculty workshop in the same semester?,Enrollment
Sila sahkan dengan tandatangan anda.,Signature
Bolehkah saya mendapatkan transkrip sebelum keputusan akhir saya dipaparkan?,Transcript
Bolehkah saya menggunakan kertas peperiksaan saya sendiri jika saya kehabisan ruang?,Examination
Where can I find information about campus accessibility?,Other
Bagaimana saya boleh mendaftar untuk kursus saya?,Enrollment
Adakah saya perlu mengekalkan GPA tertentu untuk mengekalkan biasiswa?,Scholarship
How do I prepare for an online exam?,Examination
Adakah terdapat had bilangan kali untuk saya menduduki peperiksaan semula?,Examination
How do I sign up for a professional development webinar for faculty?,Enrollment
Apakah dasar media sosial untuk pelajar?,Other
Can I request a transcript by phone?,Transcript
Can I use a scholarship for postgraduate courses?,Scholarship
How do I apply for enrollment in a research collaboration project?,Enrollment
Bolehkah anda tandatangan borang pendaftaran insurans kesihatan saya?,Signature
How do I submit a suggestion for improving the university?,Other
Bolehkah saya memohon transkrip jika saya belum tamat pengajian?,Transcript
What is the value of the scholarship I am applying for?,Scholarship
How should I handle exam stress?,Examination
Could you sign my student club registration form?,Signature
What scholarships are available for students interested in public health?,Scholarship
What scholarships are available for students pursuing a career in technology?,Scholarship
Apakah prosedur untuk menduduki peperiksaan secara jarak jauh?,Examination
Could you sign my student club registration form?,Signature
Can I still register if I miss the first class?,Enrollment
Bolehkah anda jelaskan cara menggunakan sumber perpustakaan?,Other
Where can I find the enrollment policy for faculty workshops?,Enrollment
Can I request a transcript if I am on a leave of absence?,Transcript
My grade report isn’t showing,Transcript
Bolehkah anda tandatangan surat pengesahan sijil saya?,Signature
Bagaimana saya menghantar permohonan biasiswa?,Scholarship
How do I change my course selection?,Enrollment
Can I change my exam location?,Examination
Are there scholarships available for students with exceptional extracurricular activities?,Scholarship
Can I register for courses without a student ID?,Enrollment
Can scholarships be applied to summer courses?,Scholarship
Is there a way to apply for a scholarship if I missed the application deadline?,Scholarship
What documents do I need to request my transcript?,Transcript
Can I change my exam location?,Examination
Can I get my transcript for my internship report submission?,Transcript
Are there any student discounts available?,Other
Bolehkah anda bantu saya mendapatkan transkrip untuk permohonan sekolah siswazah?,Transcript
Can I request a transcript if I am on a leave of absence?,Transcript
Adakah terdapat kawasan menunggu untuk pelajar sebelum peperiksaan?,Examination
Bolehkah saya membawa barang peribadi ke dalam bilik peperiksaan?,Examination
Apa yang perlu saya lakukan jika saya terlambat ke peperiksaan?,Examination
Bolehkah anda tandatangan borang permohonan kursus musim panas saya?,Signature
Is there a designated waiting area for students before the exam?,Examination
Adakah saya boleh memohon biasiswa selepas mendaftar di universiti?,Scholarship
Bagaimana cara untuk meminta pertukaran kursus?,Other
Is there a way to contact the alumni association?,Other
Bolehkah saya memohon biasiswa jika saya pelajar pertama dalam keluarga?,Scholarship
Where can I find the exam schedule?,Examination
Could you please send me my transcript as soon as possible?,Transcript
Adakah terdapat biasiswa untuk pelajar sambilan?,Scholarship
Would you sign my participation confirmation for a conference?,Signature
I’m having trouble with my course enrollment,Enrollment
How do I register for faculty research presentations?,Enrollment
Saya perlukan transkrip untuk permohonan pemindahan.,Transcript
Bagaimana cara untuk memohon biasiswa berdasarkan aktiviti kokurikulum?,Scholarship
Adakah terdapat peraturan khusus untuk peperiksaan akhir?,Examination
Can you send my transcript directly to a university in another country?,Transcript
Bolehkah anda tandatangan permohonan dana penyelidikan saya?,Signature
Bagaimana cara saya mendapatkan transkrip yang disahkan untuk kegunaan antarabangsa?,Transcript
Adakah terdapat biasiswa untuk pelajar yang belajar dalam bidang seni bina?,Scholarship
Apakah prosedur untuk memohon lanjutan transkrip?,Other
Can you please sign my re-registration form?,Signature
Can you please sign my final exam application form?,Signature
Are calculators allowed in the exam?,Examination
Boleh beri maklumat mengenai proses pendaftaran?,Enrollment
How long is it before my transcript is available after graduation?,Transcript
How do I make a transcript request for a graduate program?,Transcript
Would you sign my course withdrawal form?,Signature
What is the registration process for new students?,Enrollment
Apakah jenis biasiswa yang ada untuk pelajar sarjana?,Scholarship
How can I increase my chances of receiving a scholarship?,Scholarship
How can I connect with other students in my field of study?,Other
How do I get enrolled in a faculty-led educational research group?,Enrollment
Please sign my application for student housing.,Signature
How do I apply for enrollment in a research collaboration project?,Enrollment
Please sign my request for independent study approval.,Signature
Can I get a copy of my transcript for my certification exam?,Transcript
Can I bring my notes to the exam?,Examination
How do I get my transcript sent to a licensing board?,Transcript
Can I apply for an international exchange program?,Other
Could you kindly assist me with my course registration?,Enrollment
How do I get a transcript to submit to the state licensing board?,Transcript
Can you send my transcript directly to a university in another country?,Transcript
Bolehkah anda hantar transkrip saya ke sekolah baru saya?,Transcript
Can I request my transcript directly from the department?,Transcript
Apa yang perlu saya lakukan jika saya merasa cemas sebelum peperiksaan?,Examination
Apakah barang yang dibenarkan untuk peperiksaan bawa pulang?,Examination
How can I obtain a transcript if I have graduated several years ago?,Transcript
Tolong tandatangan dokumen rasmi ini.,Signature
Bolehkah saya mendapatkan transkrip daripada ketua jabatan saya?,Transcript
Adakah saya perlu mengekalkan GPA tertentu untuk mengekalkan biasiswa?,Scholarship
Di manakah saya boleh mendapatkan sokongan akademik?,Other
Can you provide me with my official transcript for a career change?,Transcript
Bolehkah saya mendapatkan transkrip untuk permohonan pengajian pascasiswazah?,Transcript
Can I submit an article to the university’s magazine?,Other
Can I get my transcript in person from the registrar’s office?,Transcript
Could you sign my proof of attendance form?,Signature
What happens if I spill something during the exam?,Examination
Sila sahkan dengan tandatangan anda.,Signature
Can I submit an article to the university’s magazine?,Other
Can I register for faculty orientation if I missed the deadline?,Enrollment
Bolehkah anda terangkan usaha kelestarian universiti?,Other
I need your signature to complete my request.,Signature
How do I register for a teaching pedagogy workshop?,Enrollment
Can you email me a copy of my transcript while I wait for the official one?,Transcript
Can I get a transcript copy from my previous semester?,Transcript
Bagaimana saya memohon biasiswa jika saya adalah pelajar tahun pertama?,Scholarship
Di manakah saya boleh mendapatkan maklumat mengenai diskaun pelajar tempatan?,Other
Adakah terdapat peraturan khusus untuk peperiksaan akhir?,Examination
I need assistance in applying for a scholarship.,Scholarship
Can I get my transcript sent directly to my academic advisor?,Transcript
Sila tandatangan dokumen ini untuk melengkapkan permohonan.,Signature
Bolehkah saya mendapatkan transkrip walaupun saya menarik diri dari universiti?,Transcript
Can I receive a scholarship if I’m on academic probation?,Scholarship
Adakah terdapat cara untuk menghubungi persatuan alumni?,Other
Adakah terdapat biasiswa untuk pelajar yang merupakan veteran?,Scholarship
Could you sign my student club registration form?,Signature
Sudi tak tandatangan borang permohonan beasiswa luar negara saya?,Signature
What documents do I need to request my transcript?,Transcript
Bolehkah saya bercakap dengan pengawas peperiksaan semasa peperiksaan?,Examination
Where do I submit my course enrollment requests as a faculty member?,Enrollment
Bolehkah anda tandatangan permohonan bantuan kewangan saya?,Signature
How do I access the career counseling services?,Other
Do I need to provide a personal statement for a scholarship application?,Scholarship
Where can I find information about exchange programs?,Other
What are the steps to enroll in a faculty-based grant-writing workshop?,Enrollment
Please sign my application for student housing.,Signature
Bolehkah saya memohon beberapa biasiswa sekaligus?,Scholarship
Can I enroll in a faculty program on student assessment strategies?,Enrollment
Can I get your signature for my graduation petition?,Signature
How do I enroll in an online faculty course?,Enrollment
Adakah terdapat cara untuk memohon biasiswa jika saya terlepas tarikh akhir permohonan?,Scholarship
How do I get a transcript if I am no longer a student?,Transcript
Can I request an extension for my academic deadlines?,Other
Are there scholarships for students interested in entrepreneurship?,Scholarship
Bolehkah anda tandatangan permohonan peralihan kursus saya?,Signature
Bagaimana cara untuk mendaftar dalam kursus ini?,Enrollment
Are there any workshops for personal development?,Other
What is the process to enroll in faculty leadership programs?,Enrollment
Are there any restrictions on the size of the items I can bring to the exam?,Examination
I need you to sign this form.,Signature
Can I change my student email address?,Other
How can I obtain a transcript if I have graduated several years ago?,Transcript
Di manakah saya boleh mendapatkan maklumat mengenai diskaun pelajar tempatan?,Other
Would you sign my course load adjustment request?,Signature
Adakah terdapat cara untuk memohon biasiswa jika saya terlepas tarikh akhir permohonan?,Scholarship
I need assistance in choosing my courses for next semester.,Enrollment
How can I increase my chances of receiving a scholarship?,Scholarship
How do I access the career counseling services?,Other
Can I write on the exam paper itself?,Examination
Boleh tandatangan borang ini?,Signature
How do I apply for an athletic scholarship?,Scholarship
Bolehkah anda tandatangan permohonan untuk pengajian sambilan?,Signature
Can I bring a friend into the exam room for support?,Examination
Are there scholarships for students studying liberal arts?,Scholarship
Tolong tandatangan borang permohonan penyelidikan saya.,Signature
I need help with registering for my classes.,Enrollment
I need you to sign this form.,Signature
Are there any merit-based scholarships?,Scholarship
How do I find an internship in my field of study?,Other
Can you sign my student fee reduction application?,Signature
I need general information about university events.,Other
What should I do if I am feeling anxious before the exam?,Examination
Bagaimana saya mendaftar untuk peperiksaan ulangan?,Examination
How do I register for an online faculty development course?,Enrollment
Apakah langkah-langkah untuk pendaftaran pelajar baru?,Enrollment
Can you help me get a copy of my academic transcript?,Transcript
Apakah sumber yang ada untuk pelajar antarabangsa?,Other
Apakah biasiswa yang tersedia untuk pelajar yang mengejar ijazah dalam bidang undang-undang?,Scholarship
Bolehkah anda bantu saya mendapatkan salinan transkrip dari semester lepas?,Transcript
Tolong tandatangan borang permohonan cuti sakit ini.,Signature
Berapa lama peperiksaan itu?,Examination
Bagaimana cara saya mendapatkan transkrip untuk aplikasi kepada program latihan?,Transcript
Bagaimana saya menghantar peperiksaan dalam talian?,Examination
Would you sign my study-abroad tuition form?,Signature
What is the process to enroll in a research seminar?,Enrollment
I’m having trouble with my course enrollment,Enrollment
Bolehkah saya mendapatkan transkrip sebelum keputusan akhir saya dipaparkan?,Transcript
Bagaimana cara untuk mengakses perkhidmatan kaunseling kerjaya?,Other
How much does it cost to request a transcript?,Transcript
Can I apply for a scholarship if I’m an adult learner returning to education?,Scholarship
Would you kindly sign my graduate student petition?,Signature
Can I participate in a faculty summer course as a new faculty member?,Enrollment
Bagaimana cara saya mendapatkan transkrip jika saya sedang mendaftar?,Transcript
Sudi tak tandatangan borang permohonan pengecualian kredit?,Signature
How can I enroll in an academic conference as a faculty presenter?,Enrollment
What scholarships are available for students studying in the medical field?,Scholarship
Can you help me find a roommate for off-campus housing?,Other
How do I check if my registration was successful?,Enrollment
Can I receive a scholarship if I’m on academic probation?,Scholarship
What is the procedure for enrolling in faculty-led community outreach projects?,Enrollment
Can you sign this letter of recommendation?,Signature
What do I do if I can’t access my online exam?,Examination
Saya perlukan bantuan memahami proses aduan pelajar.,Other
What’s the procedure for adding a course after the semester begins?,Other
How do I register for a faculty development course?,Enrollment
How can I sign up for a faculty-only professional development day?,Enrollment
Can you sign my student absence request?,Signature
Boleh beri maklumat tentang biasiswa untuk pelajar sarjana?,Scholarship
Bolehkah saya mendapatkan salinan transkrip untuk semua kursus yang telah saya ambil?,Transcript
Can you sign my thesis/dissertation proposal?,Signature
Bolehkah anda tandatangan permohonan pengesahan pertukaran pelajar?,Signature
Where can I find a list of student scholarships?,Other
Do I need a recommendation letter for the scholarship?,Scholarship
Bolehkah saya menggunakan biasiswa untuk program pengajian di luar negara?,Scholarship
How do I sign up for faculty-led skills development sessions?,Enrollment
Can I change my course schedule after the semester starts?,Enrollment
Adakah terdapat biasiswa untuk pelajar dalam bidang seni kreatif?,Scholarship
What are the chances of getting a scholarship?,Scholarship
Di manakah saya boleh mengetahui lebih lanjut mengenai program kepimpinan pelajar?,Other
Apakah peraturan mengenai bercakap semasa peperiksaan?,Examination
Can I register for a teaching assistance role this semester?,Enrollment
Apakah pilihan untuk penginapan di kampus?,Other
Di manakah saya boleh mendapatkan maklumat mengenai diskaun pelajar tempatan?,Other
Can you endorse my student emergency fund application?,Signature
Can I get a transcript mailed to my parent's address?,Transcript
Adakah terdapat biasiswa untuk pelajar dari keluarga berpendapatan rendah?,Scholarship
Bagaimana cara untuk memohon cuti akademik?,Other
Can I use a laptop during the exam?,Examination
Bolehkah saya menggunakan kalkulator sepanjang peperiksaan?,Examination
Adakah terdapat bengkel pembangunan diri yang tersedia?,Other
How do I request enrollment in faculty training for new teaching tools?,Enrollment
Could you explain the process for securing a scholarship?,Scholarship
Apakah peraturan mengenai barang peribadi di perpustakaan?,Other
Bagaimana cara saya mengesahkan keaslian transkrip saya?,Transcript
Tolong tandatangan borang permohonan pekerjaan pelajar saya.,Signature
Apa yang perlu saya lakukan jika saya mengesyaki ada penipuan semasa peperiksaan?,Examination
Do I need to provide a personal statement for a scholarship application?,Scholarship
How do I register for a faculty development course?,Enrollment
How do I handle a situation where I feel unprepared for the exam?,Examination
Di manakah saya boleh mendapatkan maklumat mengenai aksesibiliti kampus?,Other
Bagaimana saya membuat rayuan terhadap keputusan biasiswa?,Scholarship
Apakah prosedur untuk menambah kursus selepas semester bermula?,Other
Bolehkah anda bantu saya memohon transkrip rasmi?,Transcript
How can I enroll in a faculty-student collaborative research project?,Enrollment
Bolehkah anda tandatangan borang permohonan pas pengajian?,Signature
Bolehkah anda tandatangan borang pengecualian pembayaran yuran?,Signature
Can you explain how to use the library’s resources?,Other
Bolehkah saya mendapatkan transkrip untuk permohonan pengajian pascasiswazah?,Transcript
Apakah sumber yang ada untuk pelajar antarabangsa?,Other
Bagaimana saya bersedia untuk pembentangan lisan semasa peperiksaan?,Examination
Bagaimana saya boleh menukar subjek yang telah saya daftar?,Enrollment
Can I apply for a research grant?,Other
Bolehkah saya dapatkan tandatangan borang permohonan pemindahan kredit?,Signature
How can I verify the accuracy of my transcript?,Transcript
Could you provide me with a copy of my most recent transcript?,Transcript
Are there scholarships for students in the creative arts?,Scholarship
How do I get permission to enroll in a full class?,Enrollment
Bagaimana cara untuk mengakses sistem pendaftaran?,Enrollment
How can I become a member of a cultural club?,Other
Where do I submit my course enrollment requests as a faculty member?,Enrollment
Bolehkah anda tandatangan permohonan dana penyelidikan saya?,Signature
How do I sign up for faculty training on student engagement?,Enrollment
Where do I register for workshops on faculty leadership development?,Enrollment
Can I change my course schedule after the semester starts?,Enrollment
How do I join a faculty research group?,Enrollment
Bolehkah saya membawa perakam suara ke dalam bilik peperiksaan?,Examination
Bagaimana saya melaporkan kejadian yang berlaku?,Other
How do I sign up for faculty training on student engagement?,Enrollment
Bolehkah saya memohon biasiswa jika saya mempunyai keputusan SAT/ACT yang rendah?,Scholarship
How do I find an internship in my field of study?,Other
